url,ticket,nat,home,job
/titanic-survivor/madeleine-newell.html,35273,American,"Lexington, Massachusetts, United States",
/titanic-victim/arthur-webster-newell.html,35273,American,"Lexington, Massachusetts, United States",
/titanic-survivor/helen-monypeny-newsom.html,11752,American,"New York City, New York, United States",
/titanic-victim/arthur-ernest-nicholson.html,693,English,"Shanklin, Isle of Wight, England",
/titanic-survivor/alfred-nourney.html,2166,German,"Köln (Cologne), Germany",Gentleman
/titanic-survivor/fermina-oliva-y-ocana.html,17758,Spanish,"Madrid, Spain",Personal Maid       to Mrs Maria Josefa Perezde Soto y Vallejo Peñasco y Castellana
/titanic-survivor/alfred-fernand-omont.html,12998,French,"Le Havre, France",Dealer
/titanic-victim/servando-jose-florentino-ovies-y-rodriguez.html,17562,Spanish,"Havana, Cuba",Merchant
/titanic-victim/william-henry-marsh-parr.html,112052,English,"Belfast, Ireland",Electrician
/titanic-victim/austin-partner.html,113043,English,"Tolworth, London, England",Stockbroker
/titanic-victim/vivian-ponsonby-payne.html,12749,Canadian,"Montréal, Québéc, Canada",Clerk
/titanic-victim/thomas-pears.html,113776,English,"Isleworth, Middlesex, England",Of Independent Means
/titanic-survivor/edith-pears.html,113776,English,"Isleworth, Middlesex, England",
/titanic-victim/victor-penasco.html,17758,Spanish,"Madrid, Spain",Of Independent Means
/titanic-survivor/maria-penasco.html,17758,Spanish,"Madrid, Spain",Of Independent Means
/titanic-survivor/mary-anne-perreault.html,12749,Canadian,"Montréal, Québéc, Canada",Personal Maid       to Mrs Clara Jennings Hays
/titanic-survivor/arthur-godfrey-peuchen.html,113786,Canadian,"Toronto, Ontario, Canada",
/titanic-victim/walter-chamberlain-porter.html,110465,American,"Worcester, Massachusetts, United States",
/titanic-survivor/lily-alexenia-potter.html,11767,American,"Philadelphia, Pennsylvania, United States",
/titanic-victim/johan-george-reuchlin.html,19972,Dutch,"Rotterdam, Netherlands",
/titanic-survivor/george-rheims.html,17607,American,"Paris, France",Businessman
/titanic-victim/sante-righini.html,17760,Italian,"Rome, Lazio, Italy",Servant       to Mrs Ella White
/titanic-survivor/elisabeth-walton-robert.html,24160,American,"St. Louis, Missouri, United States",Of Independent Means
/titanic-victim/victor-robbins.html,17757,English,,Servant       to Colonel John Jacob Astor
/titanic-victim/washington-roebling.html,17590,American,"Trenton, New Jersey, United States",Of Independent Means
/titanic-survivor/charles-romaine.html,111428,American,"New York City, New York, United States",Stockbroker
/titanic-victim/hugh-rood.html,113767,American,"Seattle, Washington, United States",Businessman
/titanic-survivor/edith-russell.html,17613,American,"Paris, France",Journalist
/titanic-victim/george-rosenshine.html,17585,German,"New York City, New York, United States",Merchant
